brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Brand_0796,brand0796.com,@brand0796,Coach,87,https://www.facebook.com/ads/library/?q=Brand_0796,Website,3,7L,No UGC,contact@brand0796.com,3,2026-09-10T06:34:11.764142
Brand_0195,brand0195.com,@brand0195,D2C Skincare,14,https://www.facebook.com/ads/library/?q=Brand_0195,Website,3,5L,No UGC,contact@brand0195.com,3,2026-09-10T06:34:11.764158
Brand_0918,brand0918.com,@brand0918,Clinic,92,https://www.facebook.com/ads/library/?q=Brand_0918,Website,3,10L,No highlights,contact@brand0918.com,3,2026-09-10T06:34:11.764163
Brand_0988,brand0988.com,@brand0988,D2C Skincare,13,https://www.facebook.com/ads/library/?q=Brand_0988,WhatsApp,7,7L,Static only,contact@brand0988.com,3,2026-09-10T06:34:11.764167
Brand_0092,brand0092.com,@brand0092,Clinic,12,https://www.facebook.com/ads/library/?q=Brand_0092,Lead Form,5,6L,No highlights,contact@brand0092.com,3,2026-09-10T06:34:11.764175
Brand_1265,brand1265.com,@brand1265,Coach,55,https://www.facebook.com/ads/library/?q=Brand_1265,WhatsApp,7,8L,Static only,contact@brand1265.com,3,2026-09-10T06:34:11.764178
Brand_1976,brand1976.com,@brand1976,D2C Bags,70,https://www.facebook.com/ads/library/?q=Brand_1976,Website,5,7L,Static only,contact@brand1976.com,3,2026-09-10T06:34:11.764181
Brand_1447,brand1447.com,@brand1447,Real Estate,55,https://www.facebook.com/ads/library/?q=Brand_1447,WhatsApp,7,4L,Static only,contact@brand1447.com,3,2026-09-10T06:34:11.764185
Brand_2591,brand2591.com,@brand2591,D2C Bags,44,https://www.facebook.com/ads/library/?q=Brand_2591,Lead Form,5,4L,No highlights,contact@brand2591.com,3,2026-09-10T06:34:11.764188
Brand_1261,brand1261.com,@brand1261,D2C Skincare,45,https://www.facebook.com/ads/library/?q=Brand_1261,Website,3,1L,Slow site,contact@brand1261.com,3,2026-09-10T06:34:11.764191
Brand_1571,brand1571.com,@brand1571,D2C Skincare,78,https://www.facebook.com/ads/library/?q=Brand_1571,WhatsApp,7,10L,Static only,contact@brand1571.com,3,2026-09-10T06:34:11.764194
