brand,website,instagram,niche,active_ads,ad_library_link,destination,score,spend,leak,contact,day_found,found_at
Brand_0453,brand0453.com,@brand0453,Real Estate,62,https://www.facebook.com/ads/library/?q=Brand_0453,Website,5,10L,Static only,contact@brand0453.com,2,2026-09-10T06:34:11.707475
Brand_1336,brand1336.com,@brand1336,Real Estate,6,https://www.facebook.com/ads/library/?q=Brand_1336,Website,2,1L,No catalog,contact@brand1336.com,2,2026-09-10T06:34:11.707497
Brand_1445,brand1445.com,@brand1445,D2C Skincare,29,https://www.facebook.com/ads/library/?q=Brand_1445,WhatsApp,5,10L,No UGC,contact@brand1445.com,2,2026-09-10T06:34:11.707502
Brand_2223,brand2223.com,@brand2223,Coach,72,https://www.facebook.com/ads/library/?q=Brand_2223,WhatsApp,5,10L,No UGC,contact@brand2223.com,2,2026-09-10T06:34:11.707510
Brand_1215,brand1215.com,@brand1215,Real Estate,90,https://www.facebook.com/ads/library/?q=Brand_1215,WhatsApp,5,8L,Slow site,contact@brand1215.com,2,2026-09-10T06:34:11.707516
Brand_1987,brand1987.com,@brand1987,D2C Bags,75,https://www.facebook.com/ads/library/?q=Brand_1987,Website,3,9L,No highlights,contact@brand1987.com,2,2026-09-10T06:34:11.707520
Brand_1735,brand1735.com,@brand1735,D2C Skincare,16,https://www.facebook.com/ads/library/?q=Brand_1735,Lead Form,5,3L,Slow site,contact@brand1735.com,2,2026-09-10T06:34:11.707523
Brand_0919,brand0919.com,@brand0919,Clinic,7,https://www.facebook.com/ads/library/?q=Brand_0919,WhatsApp,4,8L,No UGC,contact@brand0919.com,2,2026-09-10T06:34:11.707526
Brand_0716,brand0716.com,@brand0716,D2C Bags,79,https://www.facebook.com/ads/library/?q=Brand_0716,Website,3,10L,No catalog,contact@brand0716.com,2,2026-09-10T06:34:11.707530
Brand_1065,brand1065.com,@brand1065,D2C Bags,52,https://www.facebook.com/ads/library/?q=Brand_1065,Lead Form,5,4L,No catalog,contact@brand1065.com,2,2026-09-10T06:34:11.707553
